# ops request: type='db'
# SELECT strategy_id AS s, exit_ts AS t, entry_delay_sec AS lag, ROUND(gross_pct,3) AS g, size_sol AS sz, ROUND(net_sol,5) AS net, scaled_out AS sc, substr(mint,1,10) AS mint, substr(lead_wallet,1,10) AS lead FROM copy_trades WHERE status='closed' AND net_sol IS NOT NULL AND strategy_id IN ('copy-hotlead-strict','copy-hotlead-strict-hi','copy-fable-leadcap') ORDER BY exit_ts ASC, id ASC
  s                      | t          | lag | g       | sz  | net      | sc | mint       | lead      
  copy-hotlead-strict    | 1782135602 | 5   | 59.074  | 0.5 | 0.28037  | 0  | GTtNj9FEqk | 6FYgn2apNX
  copy-hotlead-strict    | 1782135756 | 5   | -30.032 | 0.5 | -0.16516 | 0  | 67ipDsgK6D | 6FYgn2apNX
  copy-hotlead-strict    | 1782136146 | 5   | -35.999 | 0.5 | -0.19499 | 0  | 7cmKTnU2ym | DVhwSE98dH
  copy-hotlead-strict    | 1782136271 | 5   | -30.361 | 0.5 | -0.16681 | 0  | 7cmKTnU2ym | 6utMS2SBuj
  copy-hotlead-strict    | 1782136379 | 5   | 1.479   | 0.5 | -0.0076  | 0  | 4i35vSVyni | 6FYgn2apNX
  copy-hotlead-strict    | 1782137570 | 5   | -38.945 | 0.5 | -0.20972 | 0  | DRuiWiackJ | 5q8osC4CZR
  copy-hotlead-strict    | 1782138510 | 5   | -31.736 | 0.5 | -0.17368 | 0  | 25esJoEHNo | 5q8osC4CZR
  copy-hotlead-strict    | 1782139458 | 5   | -15.453 | 0.5 | -0.09226 | 0  | CtNC5wuHcG | HntvSoXq7C
  copy-hotlead-strict    | 1782139675 | 5   | 101.716 | 0.5 | 0.49358  | 0  | DRuiWiackJ | BdQjY2iBXu
  copy-hotlead-strict    | 1782139822 | 5   | -30.065 | 0.5 | -0.16533 | 0  | DtgneYfuPv | 4sRjm252FQ
  copy-hotlead-strict    | 1782141410 | 5   | 28.003  | 0.5 | 0.12501  | 0  | 2nZNHm3Lr9 | 6FYgn2apNX
  copy-hotlead-strict    | 1782141504 | 5   | 105.129 | 0.5 | 0.51065  | 0  | 2jbA4D1YSP | 5aXbFCpg5f
  copy-hotlead-strict    | 1782141875 | 5   | -31.332 | 0.5 | -0.17166 | 0  | BCNSwbxk5q | 5hYsHp8HWF
  copy-hotlead-strict    | 1782141959 | 5   | -57.218 | 0.5 | -0.30109 | 0  | H82sDBZNC5 | DVhwSE98dH
